instrument,instrumentLabel,image
http://www.wikidata.org/entity/Q6607,guitar,http://commons.wikimedia.org/wiki/Special:FilePath/Classical%20Guitar%20two%20views.jpg
http://www.wikidata.org/entity/Q8338,trumpet,http://commons.wikimedia.org/wiki/Special:FilePath/Trumpet%201.png
http://www.wikidata.org/entity/Q8343,clarinet,http://commons.wikimedia.org/wiki/Special:FilePath/Klarinetten%20von%20Herbert%20Wurlitzer%202.jpg
http://www.wikidata.org/entity/Q8345,bass clarinet,http://commons.wikimedia.org/wiki/Special:FilePath/FAU%20Bass%20B%20Mp.jpg
http://www.wikidata.org/entity/Q8347,bagpipes,http://commons.wikimedia.org/wiki/Special:FilePath/Abraham%20Bloemaert%20-%20The%20Bagpiper%20-%20WGA02274.jpg
http://www.wikidata.org/entity/Q8350,trombone,http://commons.wikimedia.org/wiki/Special:FilePath/Yamaha%20Tenor%20trombone%20YSL-891Z.tif
http://www.wikidata.org/entity/Q8355,violin,http://commons.wikimedia.org/wiki/Special:FilePath/Violin%20VL100.png
http://www.wikidata.org/entity/Q8371,cello,http://commons.wikimedia.org/wiki/Special:FilePath/Cello%20front%20side.png
http://www.wikidata.org/entity/Q8374,cimbalom,http://commons.wikimedia.org/wiki/Special:FilePath/BuikCymbaal.jpg
http://www.wikidata.org/entity/Q8377,oboe,http://commons.wikimedia.org/wiki/Special:FilePath/M%C3%B6nnig%2C%20Oboe%20Modell%20155%20Albrecht%20Mayer.jpg
http://www.wikidata.org/entity/Q8380,oboe d'amore,http://commons.wikimedia.org/wiki/Special:FilePath/Oboen%2C%20modern%2Bhist.jpg
http://www.wikidata.org/entity/Q9798,saxophone,http://commons.wikimedia.org/wiki/Special:FilePath/A%20Saxophone.jpg
http://www.wikidata.org/entity/Q11405,flute,http://commons.wikimedia.org/wiki/Special:FilePath/Fluiers.jpg
http://www.wikidata.org/entity/Q39777,maraca,http://commons.wikimedia.org/wiki/Special:FilePath/Sambaballen.JPG
http://www.wikidata.org/entity/Q48298,shofar,http://commons.wikimedia.org/wiki/Special:FilePath/Liten%20askenasisk%20sjofar%205380.jpg
http://www.wikidata.org/entity/Q51290,harmonica,http://commons.wikimedia.org/wiki/Special:FilePath/16-hole%20chrom%2010-hole%20diatonic.jpg
http://www.wikidata.org/entity/Q61285,ukulele,http://commons.wikimedia.org/wiki/Special:FilePath/Ukulele4.png
http://www.wikidata.org/entity/Q76239,zither,http://commons.wikimedia.org/wiki/Special:FilePath/Zither.png
http://www.wikidata.org/entity/Q78987,electric guitar,http://commons.wikimedia.org/wiki/Special:FilePath/Yngwie%20Malmsteen%27s%20electric%20guitar.jpg
http://www.wikidata.org/entity/Q80019,double bass,http://commons.wikimedia.org/wiki/Special:FilePath/AGK%20bass1%20full.jpg
http://www.wikidata.org/entity/Q80284,viola,http://commons.wikimedia.org/wiki/Special:FilePath/Bratsche.jpg
http://www.wikidata.org/entity/Q83509,piccolo,http://commons.wikimedia.org/wiki/Special:FilePath/Piccolo.jpg
http://www.wikidata.org/entity/Q83513,contrabassoon,http://commons.wikimedia.org/wiki/Special:FilePath/Contrabassoon2.jpg
http://www.wikidata.org/entity/Q93985,crash cymbal,http://commons.wikimedia.org/wiki/Special:FilePath/2006-07-06%20crash%20paiste%2016.jpg
http://www.wikidata.org/entity/Q131168,tuba,http://commons.wikimedia.org/wiki/Special:FilePath/Yamaha%20Bass%20tuba%20YFB-822.tif
http://www.wikidata.org/entity/Q157420,alto horn,http://commons.wikimedia.org/wiki/Special:FilePath/Althorn%20%28PSF%29.png
http://www.wikidata.org/entity/Q159998,bassoon,http://commons.wikimedia.org/wiki/Special:FilePath/Bassoon%20001.jpg
http://www.wikidata.org/entity/Q163759,horn,http://commons.wikimedia.org/wiki/Special:FilePath/French%20horn%20front.png
http://www.wikidata.org/entity/Q163829,synthesizer,http://commons.wikimedia.org/wiki/Special:FilePath/Micromoog.jpg
http://www.wikidata.org/entity/Q165666,xylophone,http://commons.wikimedia.org/wiki/Special:FilePath/(Xylophone)_Centro_Histórico_Quito.JPG
http://www.wikidata.org/entity/Q176926,Cuíca,http://commons.wikimedia.org/wiki/Special:FilePath/Cuica.jpg
http://www.wikidata.org/entity/Q178389,balalaika,http://commons.wikimedia.org/wiki/Special:FilePath/Balalajka%2C%20druga%20polovina%2020.%20veka.jpg
http://www.wikidata.org/entity/Q182718,nyckelharpa,http://commons.wikimedia.org/wiki/Special:FilePath/Didier%20Fran%C3%A7ois%20teaching%20his%20special%20nyckelharpa-technique.jpg
http://www.wikidata.org/entity/Q183932,castanets,http://commons.wikimedia.org/wiki/Special:FilePath/Kastanjetter%2C%20Nordisk%20familjebok.png
http://www.wikidata.org/entity/Q185041,cor anglais,http://commons.wikimedia.org/wiki/Special:FilePath/English%20Horn%20picture.jpg
http://www.wikidata.org/entity/Q187780,ocarina,http://commons.wikimedia.org/wiki/Special:FilePath/2016-01%20Ocarina%20front-back.jpg
http://www.wikidata.org/entity/Q187851,recorder,http://commons.wikimedia.org/wiki/Special:FilePath/VariousRecorderFlutes.jpg
http://www.wikidata.org/entity/Q189388,didgeridoo,http://commons.wikimedia.org/wiki/Special:FilePath/Australiandidgeridoos.jpg
http://www.wikidata.org/entity/Q189737,timpani,http://commons.wikimedia.org/wiki/Special:FilePath/Munich%20-%20A%20standard%20set%20of%20timpani%20Percussion%20-%205647.jpg
http://www.wikidata.org/entity/Q191000,oud,http://commons.wikimedia.org/wiki/Special:FilePath/Oud%20-%20MIM%20PHX.jpg
http://www.wikidata.org/entity/Q193666,tambourine,http://commons.wikimedia.org/wiki/Special:FilePath/Deff%20-%20Tambourine%2C%20p.%20579%20in%20Thomson%2C%201859.jpg
http://www.wikidata.org/entity/Q201735,triangle,http://commons.wikimedia.org/wiki/Special:FilePath/Triangle%20hg.jpg
http://www.wikidata.org/entity/Q203449,zill,http://commons.wikimedia.org/wiki/Special:FilePath/Zils.JPG
http://www.wikidata.org/entity/Q204917,whistle,http://commons.wikimedia.org/wiki/Special:FilePath/Pio%20n%C2%BA%2024%20de%20jatob%C3%A1%2C%20F%C3%A1brica%20de%20Pios%20Maur%C3%ADlio%20Coelho.jpg
